No	hr	min	sec	hr	min	sec
1286	13	57	33.963	13	57	34.67
1286						
1287	13	57	35.975	13	57	36.74
1287						
1288	13	57	37.956	13	57	38.55
1288						
1289	13	57	39.947	13	57	40.77
1289						
1290	13	57	41.954	13	57	42.54
1290						
1291	13	57	43.969	13	57	44.69
1291						
1292	13	57	45.952	13	57	46.53
1292						
1293	13	57	47.973	13	57	48.74
1293						
1294	13	57	49.95	13	57	50.53
1294						
1295	13	57	51.953	13	57	52.54
1295						
1296	13	57	53.956	13	57	54.63
1296						
1297	13	57	55.965	13	57	56.64
1297						
1298	13	57	57.967	13	57	58.66
1298						
1299	13	57	59.973	13	58	0.73
1299						
1300	13	58	1.972	13	58	2.48
1300						
1301	13	58	3.953	13	58	4.47
1301						
1302	13	58	5.954	13	58	6.56
1302						
1303	13	58	7.965	13	58	8.67
1303						
1304	13	58	9.97	13	58	10.74
1304						
1305	13	58	11.946	13	58	12.46
1305						
1306	13	58	13.948	13	58	14.47
1306						
1307	13	58	15.947	13	58	16.48
1307						
1308	13	58	17.953	13	58	18.54
1308						
1309	13	58	19.961	13	58	20.64
1309						
1310	13	58	21.947	13	58	22.81
1310						
1311	13	58	23.976	13	58	24.76
1311						
1312	13	58	25.968	13	58	26.71
1312						
1313	13	58	27.948	13	58	28.49
1313						
1314	13	58	29.956	13	58	30.58
1314						
1315	13	58	31.972	13	58	32.74
1315						
1316	13	58	33.947	13	58	34.48
1316						
1317	13	58	35.948	13	58	36.46
1317						
1318	13	58	37.959	13	58	38.6
1318						
1319	13	58	39.973	13	58	40.73
1319						
1320	13	58	41.946	13	58	42.47
1320						
1321	13	58	43.955	13	58	44.56
1321						
1322	13	58	45.966	13	58	46.64
1322						
1323	13	58	47.971	13	58	48.72
1323						
1324	13	58	49.957	13	58	50.54
1324						
1325	13	58	51.972	13	58	52.52
1325						
1326	13	58	53.96	13	58	54.6
1326						
1327	13	58	55.976	13	58	56.85
1327						
1328	13	58	57.949	13	58	58.5
1328						
1329	13	58	59.952	13	59	0.65
1329						
1330	13	59	1.975	13	59	2.73
1330						
1331	13	59	3.953	13	59	4.54
1331						
1332	13	59	5.966	13	59	6.67
1332						
1333	13	59	7.968	13	59	8.64
1333						
1334	13	59	9.95	13	59	10.49
1334						
1335	13	59	11.954	13	59	12.54
1335						
1336	13	59	13.948	13	59	14.5
1336						
1337	13	59	15.966	13	59	16.67
1337						
1338	13	59	17.971	13	59	18.69
1338						
1339	13	59	19.963	13	59	20.57
1339						
1340	13	59	21.975	13	59	22.75
1340						
1341	13	59	23.963	13	59	24.6
1341						
1342	13	59	25.947	13	59	26.46
1342						
1343	13	59	27.948	13	59	28.48
1343						
1344	13	59	29.95	13	59	30.49
1344						
1345	13	59	31.956	13	59	32.58
1345						
1346	13	59	33.958	13	59	34.58
1346						
1347	13	59	35.959	13	59	36.6
1347						
1348	13	59	37.959	13	59	38.59
1348						
1349	13	59	39.957	13	59	40.58
1349						
1350	13	59	41.963	13	59	42.63
1350						
1351	13	59	43.946	13	59	44.47
1351						
1352	13	59	45.956	13	59	46.55
1352						
1353	13	59	47.957	13	59	48.56
1353						
1354	13	59	49.957	13	59	50.55
1354						
1355	13	59	51.962	13	59	52.63
1355						
1356	13	59	53.973	13	59	54.72
1356						
1357	13	59	55.976	13	59	56.76
1357						
1358	13	59	57.943	13	59	58.44
1358						
1359	13	59	59.958	14	0	0.56
1359						
1360	14	0	1.972	14	0	2.71
1360						
1361	14	0	3.953	14	0	4.52
1361						
1362	14	0	5.958	14	0	6.59
1362						
1363	14	0	7.976	14	0	8.8
1363						
1364	14	0	9.948	14	0	10.49
1364						
1365	14	0	11.95	14	0	12.52
1365						
1366	14	0	13.956	14	0	14.56
1366						
1367	14	0	15.965	14	0	16.72
1367						
1368	14	0	17.945	14	0	18.45
1368						
1369	14	0	19.949	14	0	20.46
1369						
1370	14	0	21.964	14	0	22.64
1370						
1371	14	0	23.973	14	0	24.46
1371						
1372	14	0	25.949	14	0	26.51
1372						
1373	14	0	27.959	14	0	28.62
1373						
1374	14	0	29.96	14	0	30.54
1374						
1375	14	0	31.952	14	0	32.51
1375						
1376	14	0	33.961	14	0	34.61
1376						
1377	14	0	35.971	14	0	36.76
1377						
1378	14	0	37.958	14	0	38.6
1378						
1379	14	0	39.971	14	0	40.69
1379						
1380	14	0	41.947	14	0	42.49
1380						
1381	14	0	43.947	14	0	44.56
1381						
1382	14	0	45.953	14	0	46.54
1382						
1383	14	0	47.962	14	0	48.63
1383						
1384	14	0	49.946	14	0	50.47
1384						
1385	14	0	51.958	14	0	52.58
1385						
1386	14	0	53.946	14	0	54.8
1386						
1387	14	0	55.955	14	0	56.56
1387						
1388	14	0	57.962	14	0	58.71
1388						
1389	14	0	59.975	14	1	0.76
1389						
1390	14	1	1.961	14	1	2.63
1390						
1391	14	1	3.971	14	1	4.71
1391						
1392	14	1	5.949	14	1	6.5
1392						
1393	14	1	7.953	14	1	8.54
1393						
1394	14	1	9.951	14	1	10.53
1394						
1395	14	1	11.955	14	1	12.55
1395						
1396	14	1	13.96	14	1	14.61
1396						
1397	14	1	15.966	14	1	16.69
1397						
1398	14	1	17.946	14	1	18.46
1398						
1399	14	1	19.949	14	1	20.49
1399						
1400	14	1	21.962	14	1	22.63
1400						
1401	14	1	23.971	14	1	24.71
1401						
1402	14	1	25.95	14	1	26.5
1402						
1403	14	1	27.951	14	1	28.53
1403						
1404	14	1	29.954	14	1	30.6
1404						
1405	14	1	31.962	14	1	32.63
1405						
